user_id capacity sessions
934 9-mbps 5
935 9-mbps 246
936 9-mbps 4
937 9-mbps 160
938 9-mbps 22
939 9-mbps 459
940 9-mbps 43
941 9-mbps 3
942 9-mbps 2
943 9-mbps 156
944 9-mbps 11
945 9-mbps 19
946 9-mbps 346
947 9-mbps 30
948 9-mbps 136
949 9-mbps 306
950 9-mbps 34
951 9-mbps 83
952 9-mbps 42
953 9-mbps 11
954 9-mbps 2
955 9-mbps 77
956 9-mbps 1
957 9-mbps 31
958 9-mbps 6
959 9-mbps 210
960 9-mbps 9
961 9-mbps 8
962 9-mbps 84
963 9-mbps 6
964 9-mbps 71
965 9-mbps 5
966 9-mbps 178
967 9-mbps 5
968 9-mbps 39
969 9-mbps 1
970 9-mbps 43
971 9-mbps 5
972 9-mbps 1
973 9-mbps 163
974 9-mbps 192
975 9-mbps 1
976 9-mbps 289
977 9-mbps 44
978 9-mbps 18
979 9-mbps 11
980 9-mbps 608
981 9-mbps 1
982 9-mbps 1
983 9-mbps 31
984 9-mbps 1
985 9-mbps 7
986 9-mbps 12
987 9-mbps 141
988 9-mbps 175
989 9-mbps 8
990 9-mbps 87
991 9-mbps 411
992 9-mbps 73
993 9-mbps 296
994 9-mbps 8
995 9-mbps 58
996 9-mbps 11
997 9-mbps 1
998 9-mbps 1
999 9-mbps 42
1000 9-mbps 232
1001 9-mbps 37
1002 9-mbps 10
1003 9-mbps 56
1004 9-mbps 5
1005 9-mbps 2
1006 9-mbps 133
1007 9-mbps 259
1008 9-mbps 75
1009 9-mbps 43
1010 9-mbps 3
1011 9-mbps 33
1012 9-mbps 846
1013 9-mbps 11
1014 9-mbps 100
1015 9-mbps 1
1016 9-mbps 2
1017 9-mbps 113
1018 9-mbps 12
1019 9-mbps 11
1020 9-mbps 142
1021 9-mbps 151
1022 9-mbps 2
1023 9-mbps 191
1024 9-mbps 11
1025 9-mbps 35
1026 9-mbps 8
1027 9-mbps 146
1028 9-mbps 1
1029 9-mbps 83
1030 9-mbps 75
1031 9-mbps 42
1032 9-mbps 1
1033 9-mbps 10
1034 9-mbps 1
1035 9-mbps 4
1036 9-mbps 67
1037 9-mbps 191
1038 9-mbps 13
1039 9-mbps 45
1040 9-mbps 7
1041 9-mbps 1
1042 9-mbps 1
1043 9-mbps 58
1044 9-mbps 170
1045 9-mbps 283
1046 9-mbps 206
1047 9-mbps 32
1048 9-mbps 38
1049 9-mbps 190
1050 9-mbps 3
1051 9-mbps 46
1052 9-mbps 3
1053 9-mbps 8
1054 9-mbps 26
1055 9-mbps 1
1056 9-mbps 1
1057 9-mbps 27
1058 9-mbps 91
1059 9-mbps 25
1060 9-mbps 66
1061 9-mbps 20
1062 9-mbps 292
1063 9-mbps 43
1064 9-mbps 64
1065 9-mbps 33
1066 9-mbps 1
1067 9-mbps 2
1068 9-mbps 1
1069 9-mbps 9
1070 9-mbps 65
1071 9-mbps 3
1072 9-mbps 175
1073 9-mbps 2
1074 9-mbps 201
1075 9-mbps 31
1076 9-mbps 132
1077 9-mbps 128
1078 9-mbps 6
1079 9-mbps 11
1080 9-mbps 2
1081 9-mbps 125
1082 9-mbps 59
1083 9-mbps 24
1084 9-mbps 4
1085 9-mbps 86
1086 9-mbps 5
1087 9-mbps 108
1088 9-mbps 4
1089 9-mbps 82
1090 9-mbps 299
1091 9-mbps 1
1092 9-mbps 6
1093 9-mbps 341
1094 9-mbps 11
1095 9-mbps 82
1096 9-mbps 12
1097 9-mbps 63
1098 9-mbps 5
1099 9-mbps 122
1100 9-mbps 18
1101 9-mbps 1
1102 9-mbps 8
1103 9-mbps 44
1104 9-mbps 57
1105 9-mbps 51
1106 9-mbps 3
1107 9-mbps 16
1108 9-mbps 229
1109 9-mbps 42
1110 9-mbps 9
1111 9-mbps 16
1112 9-mbps 13
1113 9-mbps 1
1114 9-mbps 5
1115 9-mbps 2
1116 9-mbps 72
1117 9-mbps 74
1118 9-mbps 14
1119 9-mbps 2
1120 9-mbps 6
1121 9-mbps 55
1122 9-mbps 118
1123 9-mbps 1
1124 9-mbps 1
1125 9-mbps 189
1126 9-mbps 11
1127 9-mbps 5
1128 9-mbps 69
1129 9-mbps 9
1130 9-mbps 127
1131 9-mbps 91
1132 9-mbps 76
1133 9-mbps 13
1134 9-mbps 3
1135 9-mbps 1
1136 9-mbps 34
1137 9-mbps 9
1138 9-mbps 90
1139 9-mbps 8
1140 9-mbps 5
1141 9-mbps 2
1142 9-mbps 37
1143 9-mbps 28
1144 9-mbps 7
1145 9-mbps 5
1146 9-mbps 17
1147 9-mbps 260
1148 9-mbps 13
1149 9-mbps 1
1150 9-mbps 50
1151 9-mbps 1
1152 9-mbps 16
1153 9-mbps 186
1154 9-mbps 4
1155 9-mbps 107
1156 9-mbps 238
1157 9-mbps 28
1158 9-mbps 22
1159 9-mbps 12
1160 9-mbps 17
1161 9-mbps 34
1162 9-mbps 21
1163 9-mbps 124
1164 9-mbps 11
1165 9-mbps 9
1166 9-mbps 1
1167 9-mbps 1
1168 9-mbps 68
1169 9-mbps 7
1170 9-mbps 39
1171 9-mbps 87
1172 9-mbps 137
1173 9-mbps 258
1174 9-mbps 195
1175 9-mbps 83
1176 9-mbps 8
1177 9-mbps 4
1178 9-mbps 1
1179 9-mbps 28
1180 9-mbps 147
1181 9-mbps 39
1182 9-mbps 5
1183 9-mbps 22
1184 9-mbps 96
1185 9-mbps 5
1186 9-mbps 45
1187 9-mbps 20
1188 9-mbps 2
1189 9-mbps 1
1190 9-mbps 93
1191 9-mbps 198
1192 9-mbps 4
1193 9-mbps 7
1194 9-mbps 36
1195 9-mbps 5
1196 9-mbps 181
1197 9-mbps 16
1198 9-mbps 1
1199 9-mbps 87
1200 9-mbps 2
1201 9-mbps 15
1202 9-mbps 14
1203 9-mbps 3
1204 9-mbps 104
1205 9-mbps 10
1206 9-mbps 191
1207 9-mbps 18
1208 9-mbps 164
1209 9-mbps 124
1210 9-mbps 1
1211 9-mbps 2
1212 9-mbps 209
1213 9-mbps 18
1214 9-mbps 3
1215 9-mbps 36
1216 9-mbps 1
1217 9-mbps 262
1218 9-mbps 60
1219 9-mbps 15
1220 9-mbps 30
1221 9-mbps 16
1222 9-mbps 55
1223 9-mbps 1
1224 9-mbps 1
1225 9-mbps 4
1226 9-mbps 250
1227 9-mbps 12
1228 9-mbps 1
1229 9-mbps 192
1230 9-mbps 302
1231 9-mbps 88
1232 9-mbps 123
1233 9-mbps 29
1234 9-mbps 6
1235 9-mbps 91
1236 9-mbps 40
1237 9-mbps 19
1238 9-mbps 1
1239 9-mbps 13
1240 9-mbps 27
1241 9-mbps 38
1242 9-mbps 131
1243 9-mbps 82
1244 9-mbps 2
1245 9-mbps 16
1246 9-mbps 1
1247 9-mbps 3
1248 9-mbps 14
1249 9-mbps 17
1250 9-mbps 8
1251 9-mbps 5
1252 9-mbps 6
1253 9-mbps 179
1254 9-mbps 29
1255 9-mbps 16
1256 9-mbps 46
1257 9-mbps 6
1258 9-mbps 4
1259 9-mbps 35
1260 9-mbps 204
1261 9-mbps 93
1262 9-mbps 47
1263 9-mbps 18
1264 9-mbps 146
1265 9-mbps 112
1266 9-mbps 1
1267 9-mbps 5
1268 9-mbps 4
1269 9-mbps 4
1270 9-mbps 62
1271 9-mbps 2
1272 9-mbps 18
1273 9-mbps 112
1274 9-mbps 86
1275 9-mbps 286
1276 9-mbps 29
1277 9-mbps 101
1278 9-mbps 90
1279 9-mbps 137
1280 9-mbps 1
1281 9-mbps 1
1282 9-mbps 200
1283 9-mbps 13
1284 9-mbps 2
1285 9-mbps 72
1286 9-mbps 39
1287 9-mbps 14
1288 9-mbps 12
1289 9-mbps 276
1290 9-mbps 1
1291 9-mbps 132
1292 9-mbps 17
1293 9-mbps 90
1294 9-mbps 97
1295 9-mbps 80
1296 9-mbps 37
1297 9-mbps 1
1298 9-mbps 184
1299 9-mbps 27
1300 9-mbps 2
1301 9-mbps 375
1302 9-mbps 8
1303 9-mbps 24
1304 9-mbps 55
1305 9-mbps 103
1306 9-mbps 30
1307 9-mbps 63
1308 9-mbps 344
1309 9-mbps 7
1310 9-mbps 24
1311 9-mbps 10
1312 9-mbps 168
1313 12-mbps 1
1314 12-mbps 44
1315 12-mbps 52
1316 12-mbps 1
1317 12-mbps 4
1318 12-mbps 3
1319 12-mbps 15
1320 12-mbps 179
1321 12-mbps 109
1322 12-mbps 224
1323 12-mbps 8
1324 12-mbps 65
1325 12-mbps 2
1326 12-mbps 23
1327 12-mbps 44
